gop_seats,frequency,probability
222,535,0.0107
223,428,0.00856
224,395,0.0079
225,341,0.00682
226,293,0.00586
227,238,0.00476
228,215,0.0043
229,199,0.00398
230,155,0.0031
231,148,0.00296
232,99,0.00198
233,93,0.00186
234,86,0.00172
235,61,0.00122
236,57,0.00114
237,46,0.00092
238,35,0.0007
239,35,0.0007
240,24,0.00048
241,18,0.00036
242,13,0.00026
243,10,0.0002
244,7,0.00014
245,7,0.00014
246,8,0.00016
247,4,8e-05
248,7,0.00014
249,4,8e-05
250,3,6e-05
251,4,8e-05
252,1,2e-05
253,2,4e-05
254,0,0.0
255,1,2e-05
256,1,2e-05
257,1,2e-05
258,0,0.0
259,0,0.0
260,0,0.0
261,0,0.0
262,0,0.0
263,0,0.0
264,0,0.0
265,0,0.0
266,0,0.0
267,0,0.0
268,0,0.0
269,0,0.0
270,0,0.0
271,0,0.0
272,0,0.0
273,0,0.0
274,0,0.0
275,0,0.0
276,0,0.0
277,0,0.0
278,0,0.0
279,0,0.0
280,0,0.0
281,0,0.0
282,0,0.0
283,0,0.0
284,0,0.0
285,0,0.0
286,0,0.0
287,0,0.0
288,0,0.0
289,0,0.0
290,0,0.0
291,0,0.0
292,0,0.0
293,0,0.0
294,0,0.0
295,0,0.0
296,0,0.0
297,0,0.0
298,0,0.0
299,0,0.0
300,0,0.0
301,0,0.0
302,0,0.0
303,0,0.0
304,0,0.0
305,0,0.0
306,0,0.0
307,0,0.0
308,0,0.0
309,0,0.0
310,0,0.0
311,0,0.0
312,0,0.0
313,0,0.0
314,0,0.0
315,0,0.0
316,0,0.0
317,0,0.0
318,0,0.0
319,0,0.0
320,0,0.0
321,0,0.0
322,0,0.0
323,0,0.0
324,0,0.0
325,0,0.0
326,0,0.0
327,0,0.0
328,0,0.0
329,0,0.0
330,0,0.0
331,0,0.0
332,0,0.0
333,0,0.0
334,0,0.0
335,0,0.0
336,0,0.0
337,0,0.0
338,0,0.0
339,0,0.0
340,0,0.0
341,0,0.0
342,0,0.0
343,0,0.0
344,0,0.0
345,0,0.0
346,0,0.0
347,0,0.0
348,0,0.0
349,0,0.0
350,0,0.0
351,0,0.0
352,0,0.0
353,0,0.0
354,0,0.0
355,0,0.0
356,0,0.0
357,0,0.0
358,0,0.0
359,0,0.0
360,0,0.0
361,0,0.0
362,0,0.0
363,0,0.0
364,0,0.0
365,0,0.0
366,0,0.0
367,0,0.0
368,0,0.0
369,0,0.0
370,0,0.0
371,0,0.0
372,0,0.0
373,0,0.0
374,0,0.0
375,0,0.0
376,0,0.0
377,0,0.0
378,0,0.0
379,0,0.0
380,0,0.0
381,0,0.0
382,0,0.0
383,0,0.0
384,0,0.0
385,0,0.0
386,0,0.0
387,0,0.0
388,0,0.0
389,0,0.0
390,0,0.0
391,0,0.0
392,0,0.0
393,0,0.0
394,0,0.0
395,0,0.0
396,0,0.0
397,0,0.0
398,0,0.0
399,0,0.0
400,0,0.0
401,0,0.0
402,0,0.0
403,0,0.0
404,0,0.0
405,0,0.0
406,0,0.0
407,0,0.0
408,0,0.0
409,0,0.0
410,0,0.0
411,0,0.0
412,0,0.0
413,0,0.0
414,0,0.0
415,0,0.0
416,0,0.0
417,0,0.0
418,0,0.0
419,0,0.0
420,0,0.0
421,0,0.0
422,0,0.0
423,0,0.0
424,0,0.0
425,0,0.0
426,0,0.0
427,0,0.0
428,0,0.0
429,0,0.0
430,0,0.0
431,0,0.0
432,0,0.0
433,0,0.0
434,0,0.0
435,0,0.0
